city,file,topic_score,pro_max,contra_max,neutral_max,favorability,label
Toulouse Métropole,reduire_et_trier_ses_dechets_sans_edito.pdf,0.5333566665649414,0.5716433525085449,0.4243561029434204,0.4058682918548584,0.5704588515476712,unclear
Toulouse Métropole,calendrier_bennes_statiques_oct-nov_25.pdf,0.4527274966239929,0.44085803627967834,0.3150251507759094,0.3412700295448303,0.5386719374806558,unclear
Toulouse Métropole,calendrier_collecte_payante_2025.pdf,0.3217700719833374,0.47182172536849976,0.3526623249053955,0.3378540277481079,0.5287074935890442,unclear
Toulouse Métropole,guide_da_mai_2025_vdef_pap.pdf,0.5405563116073608,0.6001548767089844,0.48492929339408875,0.3264440894126892,0.5228225051505488,unclear
Toulouse Métropole,reglement_interieur_decheteries_decoset_1.pdf,0.5732437372207642,0.6757957339286804,0.5682569742202759,0.5219169855117798,0.5113062119339706,unclear
Toulouse Métropole,2023_gestiondesdechets.pdf,0.5719331502914429,0.586492657661438,0.48212820291519165,0.40195542573928833,0.5065463080322821,unclear
Toulouse Métropole,me13_dechets-a4.pdf,0.5719331502914429,0.586492657661438,0.48212820291519165,0.40195542573928833,0.5065463080322821,unclear
Toulouse Métropole,catalogue_formations_toulouse_metropole_sept_dec_2025_v2.pdf,0.4154976010322571,0.4306151270866394,0.3318434953689575,0.3138650059700012,0.4981574559170968,unclear
Toulouse Métropole,compostage_paillage_2017.pdf,0.5372354984283447,0.5793911218643188,0.48447185754776,0.41387659311294556,0.4923794866106403,unclear
Toulouse Métropole,guide_tous_acteurs_pour_environnement_1.pdf,0.593596339225769,0.6289682388305664,0.5417605042457581,0.5044571161270142,0.48082101641770975,unclear
Toulouse Métropole,6_bons_gestes_a_adopter_chez_moi_1.pdf,0.5046039819717407,0.5853358507156372,0.4991776645183563,0.4889877438545227,0.47924920522097547,unclear
Toulouse Métropole,guide_pratique_vegetaux_tm_1.pdf,0.5307482481002808,0.5642355680465698,0.4890196919441223,0.4008520543575287,0.4628921697307285,unclear
Toulouse Métropole,tsll26septoct.pdf,0.43580693006515503,0.5483498573303223,0.47612816095352173,0.4055224657058716,0.45842873346746715,unclear
Toulouse Métropole,tm_carte-distributions_09_25.pdf,0.3578856885433197,0.37358593940734863,0.30264317989349365,0.31677544116973877,0.45652420639031605,unclear
Toulouse Métropole,annuaire_dpro.pdf,0.2031322717666626,0.23240862786769867,0.16812433302402496,0.30931562185287476,0.4466305222943199,unfavorable
Toulouse Métropole,compostage.pdf,0.5209438800811768,0.5308092832565308,0.4739799201488495,0.4317290186882019,0.4356036896532725,unfavorable
Toulouse Métropole,at118_oct25.pdf,0.48471689224243164,0.5294644832611084,0.48359906673431396,0.4250536859035492,0.4195045719420224,unfavorable
Toulouse Métropole,20230417_TM_DELIBERATION_DEL-23-0329.pdf,0.6078932285308838,0.6131762266159058,0.5742425918579102,0.56880784034729,0.4094116313482164,unfavorable
Toulouse Métropole,plui-h_cr_reunion_de_synthese_14.12vf.pdf,0.5549829006195068,0.6606729030609131,0.6223483085632324,0.5430701375007629,0.4085283519632777,unfavorable
Toulouse Métropole,pluih_cahier_padd_web.pdf,0.6415891647338867,0.5948880910873413,0.5573251843452454,0.47869589924812317,0.40742452222665565,unfavorable
Toulouse Métropole,04_annexe_a_la_del-23-0877_conditions_generales_1.pdf,0.5345699787139893,0.6186318397521973,0.5911315679550171,0.6107040047645569,0.39293340092991375,unfavorable
Toulouse Métropole,charte_marches_publicsoctobre2014.pdf,0.5049085021018982,0.6183867454528809,0.5948715806007385,0.5330752730369568,0.3872446686925356,unfavorable
Toulouse Métropole,elem29septau17oct.pdf,0.30931758880615234,0.334358274936676,0.3147677779197693,0.3353821039199829,0.3816721043299833,unfavorable
Toulouse Métropole,charte_paam_a4_r_v_hd_1.pdf,0.49503427743911743,0.5388442277908325,0.5270742177963257,0.3811190724372864,0.3706615187830465,unfavorable
Toulouse Métropole,317_arr_t_du_bilan_de_la_concertation_retour_pr_fecture.pdf,0.6277943849563599,0.5915002822875977,0.5849231481552124,0.4731534719467163,0.36342317222688847,unfavorable
Toulouse Métropole,programmation_pluriannuelle_des_investissements_metropolitaine_2021-2026.pdf,0.44876283407211304,0.5505862832069397,0.5442417860031128,0.49472203850746155,0.3631003150156104,unfavorable
Toulouse Métropole,synthese_dd_v2.pdf,0.35905471444129944,0.4522576928138733,0.4464157223701477,0.31233760714530945,0.3624033218077976,unfavorable
Toulouse Métropole,tm_depliant_compostage_collectif_a5_imp_v9_sstrait_bigbang_1.pdf,0.4525010585784912,0.46782827377319336,0.46293479204177856,0.388452410697937,0.36108936672599784,unfavorable
Toulouse Métropole,cr_comite_de_suivi_ter_05032024_vdef.pdf,0.5152621269226074,0.5381419062614441,0.5361213684082031,0.4384479522705078,0.35712216935290275,unfavorable
Toulouse Métropole,Droits-a-reduction_seniors.pdf,0.30276286602020264,0.4059908390045166,0.40475502610206604,0.3461552858352661,0.35604192722311373,unfavorable
Toulouse Métropole,pcaet_livre1_diagnostic.pdf,0.6963896751403809,0.6519176959991455,0.6569094061851501,0.5381288528442383,0.3475218160337241,unfavorable
Toulouse Métropole,tm_dechets_plaquette-info-pro_v_6_bd.pdf,0.5774682760238647,0.5282283425331116,0.5334211587905884,0.5119954347610474,0.347248261100107,unfavorable
Toulouse Métropole,2022_caserneniel.pdf,0.44267842173576355,0.5035343170166016,0.5165067315101624,0.4069088399410248,0.3367447939155106,unfavorable
